sale_id,sale_date,customer_id,product_id,quantity,unit_price,total_amount,region,payment_method,year,month,month_name
1,2024-01-05,1,1,1,68000.0,68000.0,North,UPI,2024,1,January
2,2024-01-08,2,4,2,799.0,1598.0,South,Credit Card,2024,1,January
3,2024-01-12,3,14,1,32999.0,32999.0,East,UPI,2024,1,January
4,2024-01-15,4,7,2,17999.0,35998.0,West,Debit Card,2024,1,January
5,2024-01-18,5,11,3,3499.0,10497.0,South,UPI,2024,1,January
6,2024-01-22,6,2,1,55000.0,55000.0,North,Credit Card,2024,1,January
7,2024-01-25,7,9,2,2999.0,5998.0,West,Cash,2024,1,January
8,2024-01-28,8,16,1,22999.0,22999.0,South,UPI,2024,1,January
9,2024-02-03,9,3,1,62000.0,62000.0,East,Credit Card,2024,2,February
10,2024-02-06,10,6,4,1499.0,5996.0,North,UPI,2024,2,February
11,2024-02-10,11,12,2,5499.0,10998.0,South,Debit Card,2024,2,February
12,2024-02-14,12,15,1,55999.0,55999.0,West,Credit Card,2024,2,February
13,2024-02-18,13,5,3,2200.0,6600.0,East,UPI,2024,2,February
14,2024-02-23,14,8,2,12499.0,24998.0,North,UPI,2024,2,February
15,2024-02-27,15,17,1,38999.0,38999.0,South,Credit Card,2024,2,February
16,2024-03-02,16,10,2,7999.0,15998.0,West,UPI,2024,3,March
17,2024-03-05,17,1,1,68000.0,68000.0,North,Debit Card,2024,3,March
18,2024-03-09,18,13,3,2499.0,7497.0,South,UPI,2024,3,March
19,2024-03-13,19,14,1,32999.0,32999.0,East,Credit Card,2024,3,March
20,2024-03-17,20,7,1,17999.0,17999.0,West,UPI,2024,3,March
21,2024-03-21,21,4,5,799.0,3995.0,South,Cash,2024,3,March
22,2024-03-25,22,11,2,3499.0,6998.0,North,UPI,2024,3,March
23,2024-03-29,23,16,1,22999.0,22999.0,East,Debit Card,2024,3,March
24,2024-04-04,24,2,1,55000.0,55000.0,West,Credit Card,2024,4,April
25,2024-04-08,25,9,3,2999.0,8997.0,South,UPI,2024,4,April
26,2024-04-12,26,3,1,62000.0,62000.0,North,Credit Card,2024,4,April
27,2024-04-16,27,6,5,1499.0,7495.0,East,UPI,2024,4,April
28,2024-04-20,28,15,1,55999.0,55999.0,South,Debit Card,2024,4,April
29,2024-04-24,29,12,2,5499.0,10998.0,West,UPI,2024,4,April
30,2024-04-28,30,17,1,38999.0,38999.0,North,Credit Card,2024,4,April
31,2024-05-03,1,8,2,12499.0,24998.0,North,UPI,2024,5,May
32,2024-05-07,2,5,4,2200.0,8800.0,South,Cash,2024,5,May
33,2024-05-11,3,18,2,1599.0,3198.0,East,UPI,2024,5,May
34,2024-05-15,4,20,1,7999.0,7999.0,West,Credit Card,2024,5,May
35,2024-05-19,5,14,1,32999.0,32999.0,South,Debit Card,2024,5,May
36,2024-05-23,6,1,1,68000.0,68000.0,North,Credit Card,2024,5,May
37,2024-05-27,7,10,2,7999.0,15998.0,West,UPI,2024,5,May
38,2024-06-02,8,16,1,22999.0,22999.0,South,UPI,2024,6,June
39,2024-06-06,9,7,2,17999.0,35998.0,East,Credit Card,2024,6,June
40,2024-06-10,10,13,4,2499.0,9996.0,North,UPI,2024,6,June
41,2024-06-14,11,3,1,62000.0,62000.0,South,Debit Card,2024,6,June
42,2024-06-18,12,11,2,3499.0,6998.0,West,UPI,2024,6,June
43,2024-06-22,13,15,1,55999.0,55999.0,East,Credit Card,2024,6,June
44,2024-06-26,14,4,3,799.0,2397.0,North,Cash,2024,6,June
45,2024-06-29,15,19,2,1499.0,2998.0,South,UPI,2024,6,June
46,2024-07-03,16,1,1,68000.0,68000.0,North,UPI,2024,7,July
47,2024-07-06,17,6,3,1499.0,4497.0,South,Credit Card,2024,7,July
48,2024-07-09,18,14,1,32999.0,32999.0,East,UPI,2024,7,July
49,2024-07-12,19,8,2,12499.0,24998.0,West,Debit Card,2024,7,July
50,2024-07-16,20,11,4,3499.0,13996.0,South,UPI,2024,7,July
51,2024-07-20,21,3,1,62000.0,62000.0,North,Credit Card,2024,7,July
52,2024-07-24,22,13,3,2499.0,7497.0,East,Cash,2024,7,July
53,2024-07-28,23,17,1,38999.0,38999.0,West,UPI,2024,7,July
54,2024-08-02,24,2,1,55000.0,55000.0,South,Credit Card,2024,8,August
55,2024-08-05,25,4,5,799.0,3995.0,North,UPI,2024,8,August
56,2024-08-08,26,7,2,17999.0,35998.0,West,Debit Card,2024,8,August
57,2024-08-11,27,10,2,7999.0,15998.0,East,UPI,2024,8,August
58,2024-08-15,28,15,1,55999.0,55999.0,South,Credit Card,2024,8,August
59,2024-08-19,29,5,3,2200.0,6600.0,North,Cash,2024,8,August
60,2024-08-23,30,16,1,22999.0,22999.0,East,UPI,2024,8,August
61,2024-08-27,1,12,2,5499.0,10998.0,West,Debit Card,2024,8,August
62,2024-09-03,2,9,3,2999.0,8997.0,South,UPI,2024,9,September
63,2024-09-07,3,1,1,68000.0,68000.0,North,Credit Card,2024,9,September
64,2024-09-11,4,18,4,1599.0,6396.0,East,UPI,2024,9,September
65,2024-09-15,5,14,1,32999.0,32999.0,West,Debit Card,2024,9,September
66,2024-09-19,6,6,5,1499.0,7495.0,South,Cash,2024,9,September
67,2024-09-23,7,3,1,62000.0,62000.0,North,Credit Card,2024,9,September
68,2024-09-27,8,11,2,3499.0,6998.0,East,UPI,2024,9,September
69,2024-09-29,9,17,1,38999.0,38999.0,West,UPI,2024,9,September
70,2024-10-02,10,15,1,55999.0,55999.0,South,Credit Card,2024,10,October
71,2024-10-06,11,8,2,12499.0,24998.0,North,UPI,2024,10,October
72,2024-10-10,12,7,2,17999.0,35998.0,West,Debit Card,2024,10,October
73,2024-10-14,13,13,4,2499.0,9996.0,East,UPI,2024,10,October
74,2024-10-18,14,2,1,55000.0,55000.0,South,Credit Card,2024,10,October
75,2024-10-22,15,5,5,2200.0,11000.0,North,Cash,2024,10,October
76,2024-10-26,16,16,1,22999.0,22999.0,East,UPI,2024,10,October
77,2024-10-30,17,10,2,7999.0,15998.0,West,Debit Card,2024,10,October
78,2024-11-03,18,1,1,68000.0,68000.0,North,Credit Card,2024,11,November
79,2024-11-07,19,3,1,62000.0,62000.0,South,UPI,2024,11,November
80,2024-11-11,20,4,6,799.0,4794.0,East,Cash,2024,11,November
81,2024-11-15,21,14,2,32999.0,65998.0,West,Credit Card,2024,11,November
82,2024-11-19,22,9,4,2999.0,11996.0,South,UPI,2024,11,November
83,2024-11-23,23,15,1,55999.0,55999.0,North,Debit Card,2024,11,November
84,2024-11-27,24,11,3,3499.0,10497.0,East,UPI,2024,11,November
85,2024-11-29,25,17,1,38999.0,38999.0,West,Credit Card,2024,11,November
86,2024-12-02,26,2,1,55000.0,55000.0,South,UPI,2024,12,December
87,2024-12-05,27,7,2,17999.0,35998.0,North,Credit Card,2024,12,December
88,2024-12-08,28,10,3,7999.0,23997.0,East,UPI,2024,12,December
89,2024-12-11,29,16,2,22999.0,45998.0,West,Debit Card,2024,12,December
90,2024-12-15,30,1,2,68000.0,136000.0,South,Credit Card,2024,12,December
91,2024-12-19,1,13,5,2499.0,12495.0,North,UPI,2024,12,December
92,2024-12-23,2,8,2,12499.0,24998.0,East,Cash,2024,12,December
93,2024-12-27,3,14,1,32999.0,32999.0,West,UPI,2024,12,December
94,2024-12-30,4,3,1,62000.0,62000.0,South,Credit Card,2024,12,December
